Quality rule id;Quality rule name;Remediation effort (in minutes);Critical;Technologies
4718;Package size control;;FALSE;JEE
4722;Track Classes referencing Database objects;;FALSE;JEE
4730;Package naming convention - case control;;FALSE;JEE
4732;Interface naming convention - case control;;FALSE;JEE
4734;Class naming convention - case control (JEE);;FALSE;JEE
4736;Method naming convention - case control (JEE);;FALSE;JEE
4738;Constant naming convention - case control (JEE);;FALSE;JEE
4740;Field naming convention - case control;;FALSE;JEE
4744;EJB Entity access through their local Interface;;TRUE;JEE
4746;EJB Session access through their local Interface;;TRUE;JEE
5050;Avoid using HANDLE CONDITION;;FALSE;Cobol
5052;Avoid using IGNORE CONDITION;;FALSE;Cobol
5054;Avoid using HANDLE ABEND;;FALSE;Cobol
5056;Using SEARCH ALL only with sorted data;;FALSE;Cobol
5058;Avoid using SORT;;FALSE;Cobol
5060;Avoid using MERGE;;FALSE;Cobol
5062;Avoid using ALTER;;TRUE;Cobol
5064;Program naming convention - prefix control;;FALSE;Cobol
5066;Avoid using PERFORM ... THROUGH | THRU;;FALSE;Cobol
5068;Avoid STOP RUN (use GOBACK instead);;FALSE;Cobol
5070;Section naming convention - prefix control;;FALSE;Cobol
5072;Avoid DISPLAY ... UPON CONSOLE;;FALSE;Cobol
5074;Paragraph naming convention - prefix control;;FALSE;Cobol
5080;Avoid Procedure Paragraphs that contains no statements;;FALSE;Cobol
5082;Avoid Procedure Sections that contain no Paragraph;;FALSE;Cobol
5086;Avoid using Sections in the PROCEDURE DIVISION (use Paragraphs only);;FALSE;Cobol
5090;Avoid using NEXT SENTENCE;;FALSE;Cobol
5092;Include a WHEN OTHER clause when using EVALUATE;;FALSE;Cobol
5094;Avoid using MOVE CORRESPONDING ... TO ...;;TRUE;Cobol
5100;Avoid large Sections - too many Lines of Code;;FALSE;Cobol
5104;Avoid large Programs - too many Sections;;FALSE;Cobol
5108;Avoid Sections with a very low comment/code ratio (COBOL);;FALSE;Cobol
5110;Avoid Programs with a very low comment/code ratio (COBOL);;FALSE;Cobol
5112;Avoid undocumented Sections (COBOL);;FALSE;Cobol
5114;Avoid undocumented Programs (COBOL);;FALSE;Cobol
5116;Avoid undocumented Paragraphs;;FALSE;Cobol
5138;Avoid Programs with lines of more than 80 characters;;FALSE;Cobol
5144;Avoid using GOTO statement (COBOL);;FALSE;Cobol
5550;Avoid having joins with more than 4 Tables;;FALSE;Forms
5554;"Avoid having SQL code in Triggers named ""pre-record""";;FALSE;Forms
5558;Based Data Blocks naming convention - represented table;;FALSE;Forms
5560;Based Data Block Items naming convention - represented column;;FALSE;Forms
5562;Not Based Data Blocks naming convention - prefix control;;FALSE;Forms
5564;Not Based Data Block Items naming convention - prefix control;;FALSE;Forms
5566;Use of call_form built-in Function from a centralized location;;FALSE;Forms
5572;Avoid objects without COMMENT property;;FALSE;Forms
6050;Datawindow naming convention;;FALSE;PowerBuilder
6052;Global function naming convention;;FALSE;PowerBuilder
6054;Menu naming convention;;FALSE;PowerBuilder
6056;Structure naming convention;;FALSE;PowerBuilder
6062;Window naming convention;;FALSE;PowerBuilder
6066;Global variable naming convention;;FALSE;PowerBuilder
6068;Instance variable naming convention;;FALSE;PowerBuilder
6070;User event naming convention;;FALSE;PowerBuilder
6072;Method naming convention;;FALSE;PowerBuilder
6076;Avoid Datawindows that does not access a database data;;FALSE;PowerBuilder
6078;Avoid Datawindows accessing Database Procedures or Functions;;FALSE;PowerBuilder
6082;Avoid PB Function/Event/Method accessing Database Procedures or Functions;;FALSE;PowerBuilder
6084;Avoid having unreferenced code;;FALSE;PowerBuilder
6102;Avoid undocumented Events;;FALSE;PowerBuilder
6104;Avoid events with a very low comment/code ratio;;FALSE;PowerBuilder
6106;User event naming convention - declare only;;FALSE;PowerBuilder
6110;Controls must inherit from a userobject;;FALSE;PowerBuilder
6112;Avoid using global variables;;FALSE;PowerBuilder
6114;Avoid using global functions;;FALSE;PowerBuilder
6124;Datawindows accessing database must be based on procedure;;FALSE;PowerBuilder
6126;Avoid using dynamic SQL in scripts;;FALSE;PowerBuilder
6128;Avoid window with too high level of inheritance;;FALSE;PowerBuilder
6130;Avoid userobject with too high level of inheritance;;FALSE;PowerBuilder
6132;Avoid overriding event;;FALSE;PowerBuilder
6134;Avoid menu with too high level of inheritance;;FALSE;PowerBuilder
6142;Avoid Windows with too many Methods;;FALSE;PowerBuilder
